symbol,type,entry_price,exit_price,entry_time,exit_time,pnl_percent,strategy
XRP/USDT,long,0.52189,0.52356,2023-08-26,2023-08-27,0.31999080265957586,RSI_MACD_VWAP
XRP/USDT,long,0.52361,0.49775,2023-08-28,2023-09-01,-4.938790321040468,RSI_MACD_VWAP
XRP/USDT,long,0.49883,0.47444,2023-09-02,2023-09-11,-4.889441292624746,RSI_MACD_VWAP
ADA/USDT,short,1.212102,1.195006,2024-12-07,2024-12-08,1.4104423555113348,RSI_MACD_VWAP
DOT/USDT,long,4.2698,4.1492,2023-08-31,2023-09-10,-2.8244882664293316,RSI_MACD_VWAP
AVAX/USDT,long,9.8,9.46,2023-09-04,2023-09-10,-3.4693877551020393,RSI_MACD_VWAP
AVAX/USDT,long,9.19,9.21,2023-09-11,2023-09-12,0.2176278563656295,RSI_MACD_VWAP
AVAX/USDT,long,9.31,9.1,2023-09-13,2023-09-17,-2.25563909774437,RSI_MACD_VWAP
AVAX/USDT,long,9.11,9.05,2023-09-18,2023-09-20,-0.6586169045005349,RSI_MACD_VWAP
AVAX/USDT,long,8.83,8.87,2023-09-21,2023-09-22,0.4530011325028216,RSI_MACD_VWAP
AVAX/USDT,long,8.92,8.79,2023-09-23,2023-09-24,-1.457399103139022,RSI_MACD_VWAP
