symbol,type,entry_price,exit_price,entry_time,exit_time,pnl_percent,strategy
BTC/USDT,short,117590.0,117672.5,2025-07-11 07:15:00,2025-07-11 07:20:00,-0.07015902712815715,MACD_Only
BTC/USDT,short,117882.4,117821.3,2025-07-11 07:25:00,2025-07-11 07:30:00,0.05183131663419753,MACD_Only
BTC/USDT,short,117997.9,117936.4,2025-07-11 07:35:00,2025-07-11 07:40:00,0.05211957161949493,MACD_Only
BTC/USDT,short,117931.2,117756.5,2025-07-11 07:45:00,2025-07-11 07:50:00,0.14813721898869603,MACD_Only
BTC/USDT,short,117600.0,117612.7,2025-07-11 07:55:00,2025-07-11 08:00:00,-0.010799319727888682,MACD_Only
BTC/USDT,short,117700.0,117784.5,2025-07-11 08:05:00,2025-07-11 08:10:00,-0.07179269328802039,MACD_Only
BTC/USDT,short,117887.9,117901.1,2025-07-11 08:15:00,2025-07-11 08:20:00,-0.011197077901982851,MACD_Only
BTC/USDT,long,117962.0,117949.4,2025-07-11 08:25:00,2025-07-11 08:30:00,-0.010681405876473628,MACD_Only
BTC/USDT,long,117912.2,117983.1,2025-07-11 08:35:00,2025-07-11 08:40:00,0.06012948617701029,MACD_Only
BTC/USDT,long,117981.0,117956.5,2025-07-11 08:45:00,2025-07-11 08:50:00,-0.020766055551317584,MACD_Only
BTC/USDT,long,117950.3,117961.5,2025-07-11 08:55:00,2025-07-11 09:00:00,0.009495524810023451,MACD_Only
BTC/USDT,long,117951.0,117996.3,2025-07-11 09:05:00,2025-07-11 09:10:00,0.03840577867080645,MACD_Only
BTC/USDT,long,118135.4,118187.6,2025-07-11 09:15:00,2025-07-11 09:20:00,0.04418658590059512,MACD_Only
BTC/USDT,long,118170.2,118392.5,2025-07-11 09:25:00,2025-07-11 09:30:00,0.18811849349497836,MACD_Only
BTC/USDT,long,118711.5,118600.6,2025-07-11 09:35:00,2025-07-11 09:40:00,-0.09341976135420257,MACD_Only
BTC/USDT,long,118700.0,118465.7,2025-07-11 09:45:00,2025-07-11 09:50:00,-0.19738837405223497,MACD_Only
BTC/USDT,long,118446.8,118375.1,2025-07-11 09:55:00,2025-07-11 10:00:00,-0.06053350533741485,MACD_Only
BTC/USDT,long,118360.0,118142.2,2025-07-11 10:05:00,2025-07-11 10:10:00,-0.1840148698884783,MACD_Only
BTC/USDT,short,118123.6,118273.5,2025-07-11 10:15:00,2025-07-11 10:20:00,-0.12690097491102045,MACD_Only
BTC/USDT,short,118281.7,118135.8,2025-07-11 10:25:00,2025-07-11 10:30:00,0.12334959676771147,MACD_Only
BTC/USDT,short,118081.1,118069.8,2025-07-11 10:35:00,2025-07-11 10:40:00,0.009569694049261829,MACD_Only
