symbol,strategy,timeframe,total_trades,win_rate,total_return,avg_return
BTC/USDT,Optimized_Crypto_V2,4h,3,0.0,-2.390163651205654,-0.7967212170685514
ETH/USDT,Optimized_Crypto_V2,4h,6,16.666666666666664,-8.825923425703833,-1.4709872376173054
BNB/USDT,Optimized_Crypto_V2,4h,2,0.0,-1.9146794042821884,-0.9573397021410942
