symbol,type,entry_price,exit_price,entry_time,exit_time,pnl_percent,strategy
BTC/USDT,short,111720.4,113316.2,2025-07-09 16:00:00,2025-07-10 16:00:00,-1.4283872954268002,BB_RSI
BTC/USDT,short,116004.9,116873.9,2025-07-10 20:00:00,2025-07-11 00:00:00,-0.7491062877516381,BB_RSI
BTC/USDT,short,117600.0,117850.1,2025-07-11 04:00:00,2025-07-11 08:00:00,-0.21267006802721586,BB_RSI
ETH/USDT,short,2603.55,2764.33,2025-07-02 16:00:00,2025-07-09 16:00:00,-6.175414338115255,BB_RSI
ETH/USDT,short,2769.73,2776.71,2025-07-09 20:00:00,2025-07-10 00:00:00,-0.25201012373047255,BB_RSI
ETH/USDT,short,2789.97,2951.64,2025-07-10 04:00:00,2025-07-10 20:00:00,-5.794685964365211,BB_RSI
BNB/USDT,short,672.48,678.75,2025-07-10 04:00:00,2025-07-10 16:00:00,-0.9323697359029237,BB_RSI
BNB/USDT,short,685.12,691.85,2025-07-10 20:00:00,2025-07-11 00:00:00,-0.9823096683792647,BB_RSI
