symbol,strategy,timeframe,total_trades,win_rate,total_return,avg_return
BTC/USDT,Optimized_Crypto_V2,30m,7,0.0,-4.872201572445054,-0.696028796063579
ETH/USDT,Optimized_Crypto_V2,30m,5,40.0,-3.586816014175609,-0.7173632028351218
