symbol,strategy,timeframe,total_trades,win_rate,total_return,avg_return
BTC/USDT,BB_RSI,5m,3,0.0,-0.6703048626410827,-0.22343495421369422
ETH/USDT,BB_RSI,5m,1,0.0,-0.330742516950554,-0.330742516950554
