symbol,strategy,timeframe,total_trades,win_rate,total_return,avg_return
BTC/USDT,RSI_MACD_VWAP,5m,2,50.0,4.8108266532951625,2.4054133266475812
ETH/USDT,RSI_MACD_VWAP,5m,1,0.0,-0.36201405996514574,-0.36201405996514574
BNB/USDT,RSI_MACD_VWAP,5m,35,5.714285714285714,-2.522539001869693,-0.07207254291056266
ADA/USDT,RSI_MACD_VWAP,5m,6,0.0,-9.533888548179903,-1.5889814246966505
DOT/USDT,RSI_MACD_VWAP,5m,18,0.0,-9.629583150975396,-0.5349768417208554
AVAX/USDT,RSI_MACD_VWAP,5m,25,4.0,-10.702430765999454,-0.4280972306399782
SHIB/USDT,RSI_MACD_VWAP,5m,25,4.0,-4.597669316283755,-0.18390677265135025
