symbol,type,entry_price,exit_price,entry_time,exit_time,pnl_percent,strategy
BTC/USDT,long,108361.1,113588.0,2025-07-09 04:10:00,2025-07-10 18:00:00,4.82359444486997,RSI_MACD_VWAP
BTC/USDT,short,116699.9,116714.8,2025-07-11 03:45:00,2025-07-11 03:50:00,-0.012767791574807459,RSI_MACD_VWAP
ETH/USDT,short,2662.88,2672.52,2025-07-09 13:25:00,2025-07-09 13:45:00,-0.36201405996514574,RSI_MACD_VWAP
BNB/USDT,short,663.05,663.05,2025-07-09 04:55:00,2025-07-09 05:00:00,0.0,RSI_MACD_VWAP
BNB/USDT,short,663.05,672.5,2025-07-09 05:05:00,2025-07-10 06:25:00,-1.4252318829650925,RSI_MACD_VWAP
BNB/USDT,short,672.5,672.5,2025-07-10 06:30:00,2025-07-10 06:35:00,0.0,RSI_MACD_VWAP
BNB/USDT,short,672.5,672.48,2025-07-10 06:40:00,2025-07-10 06:45:00,0.0029739776951645813,RSI_MACD_VWAP
BNB/USDT,short,672.48,672.48,2025-07-10 06:50:00,2025-07-10 06:55:00,0.0,RSI_MACD_VWAP
BNB/USDT,short,672.48,672.48,2025-07-10 07:00:00,2025-07-10 07:05:00,0.0,RSI_MACD_VWAP
BNB/USDT,short,672.48,672.48,2025-07-10 07:10:00,2025-07-10 07:15:00,0.0,RSI_MACD_VWAP
BNB/USDT,short,672.48,672.48,2025-07-10 07:20:00,2025-07-10 07:25:00,0.0,RSI_MACD_VWAP
BNB/USDT,short,672.48,672.48,2025-07-10 07:30:00,2025-07-10 07:35:00,0.0,RSI_MACD_VWAP
BNB/USDT,short,672.48,672.48,2025-07-10 07:40:00,2025-07-10 07:45:00,0.0,RSI_MACD_VWAP
BNB/USDT,short,672.48,672.48,2025-07-10 07:50:00,2025-07-10 07:55:00,0.0,RSI_MACD_VWAP
BNB/USDT,short,672.48,672.48,2025-07-10 08:00:00,2025-07-10 08:05:00,0.0,RSI_MACD_VWAP
BNB/USDT,short,672.48,672.48,2025-07-10 08:10:00,2025-07-10 08:15:00,0.0,RSI_MACD_VWAP
BNB/USDT,short,672.48,672.48,2025-07-10 08:20:00,2025-07-10 08:25:00,0.0,RSI_MACD_VWAP
BNB/USDT,short,673.44,673.44,2025-07-10 09:25:00,2025-07-10 09:30:00,0.0,RSI_MACD_VWAP
BNB/USDT,short,673.44,673.44,2025-07-10 09:35:00,2025-07-10 09:40:00,0.0,RSI_MACD_VWAP
BNB/USDT,short,676.19,676.19,2025-07-10 18:45:00,2025-07-10 18:50:00,0.0,RSI_MACD_VWAP
BNB/USDT,short,676.19,677.37,2025-07-10 18:55:00,2025-07-10 19:00:00,-0.17450716514588355,RSI_MACD_VWAP
BNB/USDT,short,678.75,678.75,2025-07-10 19:35:00,2025-07-10 19:40:00,0.0,RSI_MACD_VWAP
BNB/USDT,short,678.75,678.75,2025-07-10 19:45:00,2025-07-10 19:50:00,0.0,RSI_MACD_VWAP
BNB/USDT,short,678.75,678.75,2025-07-10 19:55:00,2025-07-10 20:00:00,0.0,RSI_MACD_VWAP
BNB/USDT,short,678.75,678.75,2025-07-10 20:05:00,2025-07-10 20:10:00,0.0,RSI_MACD_VWAP
BNB/USDT,short,678.75,678.75,2025-07-10 20:15:00,2025-07-10 20:20:00,0.0,RSI_MACD_VWAP
BNB/USDT,short,678.75,678.75,2025-07-10 20:25:00,2025-07-10 20:30:00,0.0,RSI_MACD_VWAP
BNB/USDT,short,678.75,678.75,2025-07-10 20:35:00,2025-07-10 20:40:00,0.0,RSI_MACD_VWAP
BNB/USDT,short,678.75,678.75,2025-07-10 20:45:00,2025-07-10 20:50:00,0.0,RSI_MACD_VWAP
BNB/USDT,short,680.72,687.15,2025-07-10 21:15:00,2025-07-11 00:30:00,-0.9445880832060098,RSI_MACD_VWAP
BNB/USDT,short,690.9,690.95,2025-07-11 01:55:00,2025-07-11 02:00:00,-0.007236937328132612,RSI_MACD_VWAP
BNB/USDT,short,690.95,690.95,2025-07-11 02:05:00,2025-07-11 02:10:00,0.0,RSI_MACD_VWAP
BNB/USDT,short,690.95,690.95,2025-07-11 02:15:00,2025-07-11 02:20:00,0.0,RSI_MACD_VWAP
