symbol,strategy,timeframe,total_trades,win_rate,total_return,avg_return
BTC/USDT,Optimized_Crypto_V2,15m,28,25.0,-4.266336835503076,-0.15236917269653838
ETH/USDT,Optimized_Crypto_V2,15m,32,15.625,-10.714826667070328,-0.3348383333459478
BNB/USDT,Optimized_Crypto_V2,15m,55,5.454545454545454,-4.2791910827453625,-0.07780347423173387
XRP/USDT,Optimized_Crypto_V2,15m,28,10.714285714285714,-13.859487176841021,-0.49498168488717925
ADA/USDT,Optimized_Crypto_V2,15m,40,12.5,-13.315056897269852,-0.33287642243174626
DOGE/USDT,Optimized_Crypto_V2,15m,29,31.03448275862069,-12.118198189195095,-0.4178689030756929
SOL/USDT,Optimized_Crypto_V2,15m,22,22.727272727272727,-3.9284278433872544,-0.17856490197214792
DOT/USDT,Optimized_Crypto_V2,15m,47,17.02127659574468,-10.317417100563201,-0.21951951277794052
AVAX/USDT,Optimized_Crypto_V2,15m,42,21.428571428571427,-10.371546856154309,-0.24694159181319786
SHIB/USDT,Optimized_Crypto_V2,15m,76,13.157894736842104,-9.341948651390377,-0.12292037699197866
