symbol,strategy,timeframe,total_trades,win_rate,total_return,avg_return
BTC/USDT,Optimized_Crypto_V2,30m,30,36.666666666666664,0.7626145460695988,0.02542048486898658
ETH/USDT,Optimized_Crypto_V2,30m,28,25.0,-9.21185841798048,-0.3289949434993028
BNB/USDT,Optimized_Crypto_V2,30m,45,15.555555555555555,-2.098947427629091,-0.04664327616953535
XRP/USDT,Optimized_Crypto_V2,30m,27,29.629629629629626,4.593862080311377,0.17014304001153246
ADA/USDT,Optimized_Crypto_V2,30m,39,23.076923076923077,-7.844663845261628,-0.20114522680158023
DOGE/USDT,Optimized_Crypto_V2,30m,31,35.483870967741936,0.18428801273889583,0.005944774604480511
SOL/USDT,Optimized_Crypto_V2,30m,26,34.61538461538461,6.29415888598353,0.24208303407628973
DOT/USDT,Optimized_Crypto_V2,30m,37,21.62162162162162,-2.5702778957779033,-0.06946697015615952
AVAX/USDT,Optimized_Crypto_V2,30m,41,17.073170731707318,-3.78648811253245,-0.09235336859835241
SHIB/USDT,Optimized_Crypto_V2,30m,60,13.333333333333334,-6.205158831660575,-0.10341931386100957
