symbol,strategy,timeframe,total_trades,win_rate,total_return,avg_return
BTC/USDT,BB_RSI,1h,17,41.17647058823529,8.409865107831482,0.49469794751949886
ETH/USDT,BB_RSI,1h,23,43.47826086956522,0.5723102299895958,0.024883053477808476
BNB/USDT,BB_RSI,1h,16,12.5,-4.68908968903233,-0.2930681055645206
XRP/USDT,BB_RSI,1h,26,19.230769230769234,8.197651695348357,0.31529429597493674
ADA/USDT,BB_RSI,1h,20,30.0,11.334392303404798,0.5667196151702398
DOGE/USDT,BB_RSI,1h,21,19.047619047619047,-4.429416499977603,-0.21092459523702875
SOL/USDT,BB_RSI,1h,16,31.25,1.3367963641724032,0.08354977276077491
DOT/USDT,BB_RSI,1h,17,29.411764705882355,8.987311735502573,0.528665396206034
AVAX/USDT,BB_RSI,1h,16,31.25,-13.106114245643994,-0.8191321403527497
SHIB/USDT,BB_RSI,1h,22,31.818181818181817,-1.8983114620159158,-0.08628688463708704
