symbol,strategy,timeframe,total_trades,win_rate,total_return,avg_return
BTC/USDT,BB_RSI,1d,4,0.0,-13.314290945934061,-3.3285727364835154
ETH/USDT,BB_RSI,1d,3,33.33333333333333,-13.679443652941123,-4.5598145509803745
