symbol,type,entry_price,exit_price,entry_time,exit_time,pnl_percent,strategy
BTC/USDT,short,112367.0,112673.1,2025-07-10 16:15:00,2025-07-10 16:30:00,-0.27241093915473924,Optimized_Crypto_V2
BTC/USDT,short,112630.0,113401.9,2025-07-10 16:45:00,2025-07-10 17:00:00,-0.6853413832904147,Optimized_Crypto_V2
BTC/USDT,short,113392.0,113663.7,2025-07-10 17:15:00,2025-07-10 17:30:00,-0.23961126005361674,Optimized_Crypto_V2
BTC/USDT,short,113708.8,113349.0,2025-07-10 17:45:00,2025-07-10 18:00:00,0.31642229976923764,Optimized_Crypto_V2
BTC/USDT,short,116475.1,116499.9,2025-07-10 21:45:00,2025-07-11 02:30:00,-0.021292104492709907,Optimized_Crypto_V2
BTC/USDT,short,116641.8,116497.5,2025-07-11 02:45:00,2025-07-11 03:00:00,0.12371208263247215,Optimized_Crypto_V2
BTC/USDT,short,116485.0,116485.0,2025-07-11 03:15:00,2025-07-11 03:30:00,0.0,Optimized_Crypto_V2
BTC/USDT,short,116873.9,116886.8,2025-07-11 03:45:00,2025-07-11 04:45:00,-0.011037537037789218,Optimized_Crypto_V2
BTC/USDT,short,117205.4,117416.2,2025-07-11 05:00:00,2025-07-11 05:15:00,-0.17985519438524414,Optimized_Crypto_V2
BTC/USDT,short,117930.4,118028.7,2025-07-11 05:30:00,2025-07-11 06:00:00,-0.08335424962520513,Optimized_Crypto_V2
BTC/USDT,short,118142.7,117955.0,2025-07-11 06:15:00,2025-07-11 06:30:00,0.1588756647681127,Optimized_Crypto_V2
ETH/USDT,short,2819.7,2833.1,2025-07-10 17:00:00,2025-07-10 17:45:00,-0.47522786111998055,Optimized_Crypto_V2
ETH/USDT,short,2906.79,2954.0,2025-07-10 21:15:00,2025-07-10 21:30:00,-1.6241283340041779,Optimized_Crypto_V2
ETH/USDT,short,2976.35,2972.88,2025-07-10 21:45:00,2025-07-10 22:45:00,0.11658575100373948,Optimized_Crypto_V2
ETH/USDT,short,2972.16,2991.82,2025-07-11 03:15:00,2025-07-11 05:00:00,-0.6614717915590114,Optimized_Crypto_V2
ETH/USDT,short,2994.93,3005.5,2025-07-11 05:15:00,2025-07-11 05:30:00,-0.35292978466943015,Optimized_Crypto_V2
ETH/USDT,short,3014.51,3017.37,2025-07-11 06:00:00,2025-07-11 06:15:00,-0.09487445720862336,Optimized_Crypto_V2
