symbol,strategy,timeframe,total_trades,win_rate,total_return,avg_return
BTC/USDT,MACD_Only,4h,33,45.45454545454545,5.065929800563469,0.1535130242594991
ETH/USDT,MACD_Only,4h,33,66.66666666666666,13.318253037088432,0.4035834253663162
