symbol,strategy,timeframe,total_trades,win_rate,total_return,avg_return
BTC/USDT,BB_RSI,5m,25,32.0,-1.2062439022958589,-0.04824975609183436
ETH/USDT,BB_RSI,5m,21,23.809523809523807,-1.5240199016436455,-0.07257237626874498
BNB/USDT,BB_RSI,5m,36,11.11111111111111,-2.0992343740333856,-0.058312065945371826
XRP/USDT,BB_RSI,5m,20,15.0,-7.887012852475063,-0.3943506426237532
ADA/USDT,BB_RSI,5m,23,13.043478260869565,-8.221534101445238,-0.3574580044106625
DOGE/USDT,BB_RSI,5m,24,33.33333333333333,-3.3049193899183416,-0.13770497457993092
SOL/USDT,BB_RSI,5m,14,28.57142857142857,-5.189600870704561,-0.3706857764788973
DOT/USDT,BB_RSI,5m,34,14.705882352941178,-4.050769904100056,-0.11914029129706052
AVAX/USDT,BB_RSI,5m,33,15.151515151515152,-2.7692798497365385,-0.08391757120413752
SHIB/USDT,BB_RSI,5m,42,11.904761904761903,-2.850995553384628,-0.06788084650915782
