symbol,strategy,timeframe,total_trades,win_rate,total_return,avg_return
BTC/USDT,MACD_Only,30m,33,60.60606060606061,0.8915626326711263,0.02701704947488263
ETH/USDT,MACD_Only,30m,33,63.63636363636363,4.393111095134668,0.13312457864044447
