symbol,entry_time,exit_time,side,entry_price,exit_price,position_size,pnl_abs,pnl_pct,duration_hours,duration_days,trade_type,cumulative_pnl,portfolio_value
JSWSTEEL,2025-02-28 14:15:00,2025-03-06 12:15:00,BUY_TP,949.85,1012.25,10000,656.9458335526659,6.56945833552666,142.0,5.916666666666667,Take Profit,8336.785948970097,108336.7859489701
JSWSTEEL,2025-04-11 09:15:00,2025-04-22 09:15:00,BUY_TP,983.35,1045.4,10000,631.0062541312866,6.310062541312867,264.0,11.0,Take Profit,8967.792203101384,108967.79220310139
JSWSTEEL,2025-06-06 10:15:00,2025-07-08 15:15:00,BUY_EOD,1003.4,1042.8,10000,392.664939206697,3.92664939206697,773.0,32.208333333333336,End of Data,9360.457142308082,109360.45714230808
TECHM,2025-04-23 09:15:00,2025-05-12 09:15:00,BUY_TP,1441.8,1534.3,10000,641.5591621584131,6.415591621584131,456.0,19.0,Take Profit,10002.016304466495,110002.0163044665
COALINDIA,2025-02-11 14:15:00,2025-03-06 12:15:00,BUY_TP,359.35,383.0,10000,658.1327396688458,6.581327396688459,550.0,22.916666666666668,Take Profit,10660.149044135342,110660.14904413534
INDUSINDBK,2025-02-27 09:15:00,2025-02-28 09:15:00,BUY_SL,1045.0,997.65,10000,-453.11004784689015,-4.531100478468901,24.0,1.0,Stop Loss,10207.038996288451,110207.03899628845
INDUSINDBK,2025-02-28 14:15:00,2025-03-07 09:15:00,BUY_SL,980.55,948.8,10000,-323.79786854316455,-3.2379786854316457,163.0,6.791666666666667,Stop Loss,9883.241127745287,109883.24112774529
INDUSINDBK,2025-04-15 10:15:00,2025-04-16 13:15:00,BUY_TP,733.2,792.35,10000,806.7375886524819,8.067375886524818,27.0,1.125,Take Profit,10689.978716397769,110689.97871639777
BAJAJFINSV,2025-03-17 09:15:00,2025-03-27 12:15:00,BUY_TP,1864.05,1987.7,10000,663.3405756283366,6.633405756283367,243.0,10.125,Take Profit,11353.319292026106,111353.3192920261
HINDALCO,2025-05-02 09:15:00,2025-05-08 11:15:00,BUY_SL,647.7,626.8,10000,-322.680253203645,-3.2268025320364506,146.0,6.083333333333333,Stop Loss,11030.63903882246,111030.63903882247
DIVISLAB,2025-02-13 09:15:00,2025-02-14 09:15:00,BUY_SL,6141.8,5866.0,10000,-449.0540232505132,-4.490540232505132,24.0,1.0,Stop Loss,10581.585015571947,110581.58501557195
DIVISLAB,2025-03-18 09:15:00,2025-04-01 13:15:00,BUY_SL,5723.9,5538.15,10000,-324.5165009870892,-3.245165009870892,340.0,14.166666666666666,Stop Loss,10257.068514584858,110257.06851458485
DIVISLAB,2025-04-21 09:15:00,2025-04-24 09:15:00,BUY_TP,5822.5,6204.0,10000,655.2168312580507,6.552168312580507,72.0,3.0,Take Profit,10912.285345842909,110912.28534584292
ADANIPORTS,2025-02-20 11:15:00,2025-02-24 12:15:00,BUY_SL,1109.45,1073.25,10000,-326.2878002613912,-3.2628780026139115,97.0,4.041666666666667,Stop Loss,10585.997545581518,110585.99754558151
ADANIPORTS,2025-03-05 10:15:00,2025-03-19 09:15:00,BUY_TP,1097.9,1170.5,10000,661.2624100555597,6.612624100555598,335.0,13.958333333333334,Take Profit,11247.259955637079,111247.25995563708
GRASIM,2025-02-11 09:15:00,2025-02-12 09:15:00,BUY_SL,2530.95,2443.0,10000,-347.4979750686494,-3.4749797506864946,24.0,1.0,Stop Loss,10899.76198056843,110899.76198056844
GRASIM,2025-03-12 11:15:00,2025-03-25 12:15:00,BUY_TP,2407.0,2573.95,10000,693.6019941836304,6.936019941836304,313.0,13.041666666666666,Take Profit,11593.363974752061,111593.36397475206
DRREDDY,2025-04-03 09:15:00,2025-04-04 09:15:00,BUY_SL,1170.0,1085.85,10000,-719.23076923077,-7.1923076923077005,24.0,1.0,Stop Loss,10874.133205521292,110874.1332055213
DRREDDY,2025-04-15 09:15:00,2025-05-13 09:15:00,BUY_TP,1140.5,1236.9,10000,845.2433143358185,8.452433143358185,672.0,28.0,Take Profit,11719.376519857109,111719.3765198571
CIPLA,2025-04-04 10:15:00,2025-04-17 09:15:00,BUY_TP,1410.0,1500.3,10000,640.4255319148932,6.404255319148932,311.0,12.958333333333334,Take Profit,12359.802051772002,112359.802051772
EICHERMOT,2025-02-21 09:15:00,2025-03-20 10:15:00,BUY_TP,4906.0,5219.0,10000,637.9942927028128,6.379942927028129,649.0,27.041666666666668,Take Profit,12997.796344474815,112997.79634447482
TATAMOTORS,2025-02-19 09:15:00,2025-02-25 10:15:00,BUY_SL,686.3,664.75,10000,-314.0026227597254,-3.140026227597254,145.0,6.041666666666667,Stop Loss,12683.79372171509,112683.79372171509
TATAMOTORS,2025-03-07 09:15:00,2025-03-20 12:15:00,BUY_TP,648.35,691.75,10000,669.3915323513531,6.69391532351353,315.0,13.125,Take Profit,13353.185254066444,113353.18525406644
TATAMOTORS,2025-04-23 09:15:00,2025-05-08 09:15:00,BUY_TP,644.65,698.2,10000,830.6833165283498,8.306833165283498,360.0,15.0,Take Profit,14183.868570594794,114183.86857059479
HEROMOTOCO,2025-03-27 10:15:00,2025-04-07 09:15:00,BUY_SL,3745.85,3455.0,10000,-776.459281604976,-7.764592816049759,263.0,10.958333333333334,Stop Loss,13407.409288989818,113407.40928898982
BRITANNIA,2025-03-05 14:15:00,2025-04-02 14:15:00,BUY_TP,4725.05,5035.05,10000,656.0777134633495,6.560777134633495,672.0,28.0,Take Profit,14063.487002453168,114063.48700245317
APOLLOHOSP,2025-02-11 13:15:00,2025-02-27 11:15:00,BUY_SL,6358.8,6153.85,10000,-322.3092407372457,-3.223092407372457,382.0,15.916666666666666,Stop Loss,13741.177761715922,113741.17776171592
SBILIFE,2025-02-28 14:15:00,2025-03-13 14:15:00,BUY_SL,1429.0,1384.1,10000,-314.2057382785171,-3.142057382785171,312.0,13.0,Stop Loss,13426.972023437405,113426.97202343741
SBILIFE,2025-03-17 09:15:00,2025-03-21 10:15:00,BUY_TP,1422.95,1521.5,10000,692.5752837415225,6.925752837415225,97.0,4.041666666666667,Take Profit,14119.547307178927,114119.54730717893
HDFCLIFE,2025-02-25 14:15:00,2025-03-19 14:15:00,BUY_TP,622.65,665.55,10000,688.9906046735722,6.889906046735724,528.0,22.0,Take Profit,14808.5379118525,114808.5379118525
UPL,2025-04-11 09:15:00,2025-04-21 14:15:00,BUY_TP,630.75,670.5,10000,630.2021403091558,6.302021403091558,245.0,10.208333333333334,Take Profit,15438.740052161655,115438.74005216165
UPL,2025-05-21 12:15:00,2025-07-03 09:15:00,BUY_TP,637.95,683.25,10000,710.0869974135896,7.100869974135897,1029.0,42.875,Take Profit,16148.827049575244,116148.82704957525
SHREECEM,2025-03-12 13:15:00,2025-03-24 09:15:00,BUY_TP,27573.25,29395.95,10000,661.0392318642165,6.610392318642165,284.0,11.833333333333334,Take Profit,16809.86628143946,116809.86628143946
SHREECEM,2025-06-05 14:15:00,2025-06-23 15:15:00,BUY_SL,29505.0,28450.0,10000,-357.56651415014403,-3.5756651415014407,433.0,18.041666666666668,Stop Loss,16452.299767289314,116452.29976728931
TATASTEEL,2025-04-07 10:15:00,2025-04-15 15:15:00,BUY_TP,128.38,136.7,10000,648.0760243028503,6.480760243028503,197.0,8.208333333333334,Take Profit,17100.375791592163,117100.37579159216
TATASTEEL,2025-05-02 09:15:00,2025-05-12 14:15:00,BUY_TP,142.66,151.68,10000,632.2725360998185,6.322725360998185,245.0,10.208333333333334,Take Profit,17732.648327691983,117732.64832769198
BAJAJ_AUTO,2025-04-11 09:15:00,2025-04-21 13:15:00,BUY_TP,7759.35,8249.0,10000,631.0451262025808,6.3104512620258095,244.0,10.166666666666666,Take Profit,18363.693453894564,118363.69345389456
LTIM,2025-02-18 09:15:00,2025-02-20 09:15:00,BUY_SL,5603.0,5390.15,10000,-379.88577547742346,-3.7988577547742346,48.0,2.0,Stop Loss,17983.807678417143,117983.80767841714
