symbol,strategy,timeframe,total_trades,win_rate,total_return,avg_return
BTC/USDT,RSI_MACD_VWAP,30m,4,25.0,-0.7507229146324117,-0.18768072865810292
ETH/USDT,RSI_MACD_VWAP,30m,2,0.0,-0.7876288653762028,-0.3938144326881014
