symbol,strategy,timeframe,total_trades,win_rate,total_return,avg_return
BTC/USDT,MACD_Only,5m,343,49.56268221574344,1.8989014435569336,0.0055361558121193415
ETH/USDT,MACD_Only,5m,343,47.521865889212826,6.092616817876507,0.017762731247453367
BNB/USDT,MACD_Only,5m,343,7.871720116618077,-1.3992894271763097,-0.004079561012175829
XRP/USDT,MACD_Only,5m,343,48.10495626822158,4.2222243475436,0.01230969197534577
ADA/USDT,MACD_Only,5m,343,39.650145772594755,1.4797413896135625,0.004314114838523519
DOGE/USDT,MACD_Only,5m,343,34.11078717201166,-2.584529859777274,-0.0075350724774847656
SOL/USDT,MACD_Only,5m,343,45.481049562682216,3.5799586365737186,0.01043719719117702
DOT/USDT,MACD_Only,5m,343,26.53061224489796,6.478663711372857,0.018888232394673066
AVAX/USDT,MACD_Only,5m,343,18.367346938775512,7.5282837568537575,0.02194834914534623
SHIB/USDT,MACD_Only,5m,343,13.411078717201166,0.5719367856884434,0.0016674541856805932
