symbol,type,entry_price,exit_price,entry_time,exit_time,pnl_percent,strategy
BTC/USDT,long,108612.2,108595.2,2025-07-09 02:55:00,2025-07-09 03:05:00,-0.015652016992566214,Optimized_Crypto_V2
BTC/USDT,long,108504.8,108435.3,2025-07-09 03:10:00,2025-07-09 03:15:00,-0.06405246588169372,Optimized_Crypto_V2
BTC/USDT,long,108433.1,108411.0,2025-07-09 03:20:00,2025-07-09 03:40:00,-0.020381230454543695,Optimized_Crypto_V2
BTC/USDT,long,108402.2,108362.8,2025-07-09 03:45:00,2025-07-09 03:50:00,-0.03634612581662935,Optimized_Crypto_V2
BTC/USDT,short,108857.0,108868.7,2025-07-09 05:35:00,2025-07-09 05:40:00,-0.01074804560110704,Optimized_Crypto_V2
BTC/USDT,short,108861.3,108966.4,2025-07-09 10:45:00,2025-07-09 11:00:00,-0.09654486948069817,Optimized_Crypto_V2
BTC/USDT,short,108984.9,108987.5,2025-07-09 11:05:00,2025-07-09 11:10:00,-0.002385651590271515,Optimized_Crypto_V2
BTC/USDT,short,109067.0,109045.3,2025-07-09 11:15:00,2025-07-09 11:20:00,0.0198960272126281,Optimized_Crypto_V2
BTC/USDT,short,109067.9,109042.2,2025-07-09 11:25:00,2025-07-09 11:30:00,0.0235633032267029,Optimized_Crypto_V2
BTC/USDT,short,109116.5,109099.4,2025-07-09 11:45:00,2025-07-09 11:50:00,0.015671323768637942,Optimized_Crypto_V2
BTC/USDT,short,109212.0,109333.6,2025-07-09 12:05:00,2025-07-09 12:10:00,-0.11134307585247577,Optimized_Crypto_V2
BTC/USDT,short,109438.3,109417.4,2025-07-09 12:15:00,2025-07-09 12:20:00,0.019097518875940807,Optimized_Crypto_V2
BTC/USDT,short,109434.0,109449.9,2025-07-09 12:25:00,2025-07-09 12:30:00,-0.014529305334716979,Optimized_Crypto_V2
BTC/USDT,short,109449.9,109425.7,2025-07-09 12:35:00,2025-07-09 12:40:00,0.02211057296534496,Optimized_Crypto_V2
