symbol,strategy,timeframe,total_trades,win_rate,total_return,avg_return
BTC/USDT,Optimized_Crypto_V2,5m,45,35.55555555555556,-0.6220497549432314,-0.013823327887627364
ETH/USDT,Optimized_Crypto_V2,5m,29,44.827586206896555,0.4590145649460749,0.01582808844641636
BNB/USDT,Optimized_Crypto_V2,5m,76,9.210526315789473,-0.4060232717783312,-0.0053424114707675135
XRP/USDT,Optimized_Crypto_V2,5m,46,36.95652173913043,-4.616343813438723,-0.10035530029214615
ADA/USDT,Optimized_Crypto_V2,5m,56,28.57142857142857,-6.8694784645522375,-0.12266925829557566
DOGE/USDT,Optimized_Crypto_V2,5m,49,16.3265306122449,-7.167587461893471,-0.14627729514068313
SOL/USDT,Optimized_Crypto_V2,5m,25,24.0,0.25308627236296166,0.010123450894518445
DOT/USDT,Optimized_Crypto_V2,5m,90,15.555555555555555,-1.161210613468813,-0.01290234014965346
AVAX/USDT,Optimized_Crypto_V2,5m,81,12.345679012345679,-5.70138406508608,-0.0703874575936553
SHIB/USDT,Optimized_Crypto_V2,5m,92,13.043478260869565,3.1010629687033906,0.03370720618155859
