Strategy,Timeframe,Total Return (%),Max Drawdown (%),Sharpe Ratio,Win Rate (%),Total Trades,Risk-Adjusted Return
MACD_Only,1h,0.61,0,0,46.97,66,0.06
MACD_Only,4h,18.38,0,0,56.06,66,1.84
