symbol,strategy,timeframe,total_trades,win_rate,total_return,avg_return
BTC/USDT,MACD_Only,4h,83,49.39759036144578,9.07535875793899,0.10934167178239748
ETH/USDT,MACD_Only,4h,83,59.036144578313255,6.737393525012524,0.08117341596400633
