symbol,strategy,timeframe,total_trades,win_rate,total_return,avg_return
BTC/USDT,BB_RSI,15m,20,25.0,-6.551810135676922,-0.32759050678384605
ETH/USDT,BB_RSI,15m,23,34.78260869565217,-9.134772777060588,-0.39716403378524295
XRP/USDT,BB_RSI,15m,20,20.0,-9.195950833259454,-0.4597975416629727
ADA/USDT,BB_RSI,15m,22,18.181818181818183,-13.416279084518413,-0.6098308674781097
DOGE/USDT,BB_RSI,15m,18,33.33333333333333,-3.1564212523319966,-0.17535673624066644
SOL/USDT,BB_RSI,15m,13,15.384615384615385,-2.9091213375898057,-0.22377856442998503
DOT/USDT,BB_RSI,15m,27,22.22222222222222,-6.06017354855199,-0.22445087216859225
AVAX/USDT,BB_RSI,15m,25,20.0,-7.487100472761301,-0.29948401891045207
SHIB/USDT,BB_RSI,15m,37,10.81081081081081,-5.83350068628995,-0.1576621807105392
