symbol,strategy,timeframe,total_trades,win_rate,total_return,avg_return
BTC/USDT,RSI_MACD_VWAP,30m,4,25.0,-8.79808400618635,-2.1995210015465876
ETH/USDT,RSI_MACD_VWAP,30m,4,25.0,-6.885562599632915,-1.7213906499082288
BNB/USDT,RSI_MACD_VWAP,30m,7,14.285714285714285,-0.46601007874513756,-0.0665728683921625
DOGE/USDT,RSI_MACD_VWAP,30m,1,100.0,8.274336283185836,8.274336283185836
SOL/USDT,RSI_MACD_VWAP,30m,1,100.0,0.7760831421244471,0.7760831421244471
AVAX/USDT,RSI_MACD_VWAP,30m,4,0.0,-0.31516862494176356,-0.07879215623544089
SHIB/USDT,RSI_MACD_VWAP,30m,7,28.57142857142857,4.20644415634419,0.6009205937634557
