symbol,strategy,timeframe,total_trades,win_rate,total_return,avg_return
BTC/USDT,RSI_MACD_VWAP,4h,3,0.0,-10.903130324083726,-3.634376774694575
ETH/USDT,RSI_MACD_VWAP,4h,2,0.0,-5.6170405477758765,-2.8085202738879382
