symbol,type,entry_price,exit_price,entry_time,exit_time,pnl_percent,strategy
BTC/USDT,short,118392.5,118711.5,2025-07-11 09:30:00,2025-07-11 09:35:00,-0.2694427434170239,BB_RSI
BTC/USDT,short,118600.6,118700.0,2025-07-11 09:40:00,2025-07-11 09:45:00,-0.08381070584802622,BB_RSI
BNB/USDT,long,688.33,688.33,2025-07-11 06:45:00,2025-07-11 06:50:00,0.0,BB_RSI
BNB/USDT,long,688.33,688.14,2025-07-11 06:55:00,2025-07-11 07:00:00,-0.027603039239907392,BB_RSI
BNB/USDT,long,687.15,690.47,2025-07-11 07:05:00,2025-07-11 09:30:00,0.48315506075821146,BB_RSI
BNB/USDT,short,691.62,691.62,2025-07-11 09:35:00,2025-07-11 09:40:00,0.0,BB_RSI
BNB/USDT,long,688.86,688.86,2025-07-11 11:10:00,2025-07-11 11:15:00,0.0,BB_RSI
