symbol,strategy,timeframe,total_trades,win_rate,total_return,avg_return
BTC/USDT,Optimized_Crypto_V2,1d,8,12.5,-14.108480981508725,-1.7635601226885909
ETH/USDT,Optimized_Crypto_V2,1d,5,40.0,-9.732650621396918,-1.9465301242793835
