entry_time,exit_time,side,entry_price,exit_price,pnl,symbol,amount,pnl_usd
2025-07-06 22:08:00+05:30,2025-07-07 09:40:00+05:30,BUY_EOD,108757.0,109377.0,620.0,BTC/USD,1000,5.700782478369208
2025-07-06 23:50:00+05:30,2025-07-07 09:40:00+05:30,BUY_EOD,2545.12,2577.32,32.20000000000027,ETH/USD,1000,12.651662789966789
2025-07-06 22:12:00+05:30,2025-07-07 09:40:00+05:30,BUY_EOD,1.00011,1.00005,-5.999999999994898e-05,USDT/USD,1000,-0.05999340072586914
2025-07-06 22:10:00+05:30,2025-07-07 09:40:00+05:30,BUY_EOD,2.27418,2.27075,-0.003429999999999822,XRP/USD,1000,-1.5082359355898927
2025-07-06 22:52:00+05:30,2025-07-07 09:40:00+05:30,BUY_EOD,0.584788,0.587316,0.0025279999999999747,ADA/USD,1000,4.3229341231351786
2025-07-06 22:53:00+05:30,2025-07-07 09:40:00+05:30,BUY_EOD,0.1704638,0.1751001,0.00463630000000001,DOGE/USD,1000,27.198149988443355
2025-07-07 08:47:00+05:30,2025-07-07 09:40:00+05:30,BUY_EOD,152.4,151.96,-0.4399999999999977,SOL/USD,1000,-2.887139107611534
2025-07-07 04:28:00+05:30,2025-07-07 09:41:00+05:30,BUY_EOD,87.67,87.7,0.030000000000001137,LTC/USD,1000,0.3421923120794016
2025-07-07 02:12:00+05:30,2025-07-07 09:41:00+05:30,BUY_EOD,3.3943,3.4247,0.030400000000000205,DOT/USD,1000,8.956191261821349
2025-07-07 05:40:00+05:30,2025-07-07 09:41:00+05:30,BUY_EOD,496.37,497.71,1.339999999999975,BCH/USD,1000,2.6995990893889137
2025-07-06 23:33:00+05:30,2025-07-07 09:41:00+05:30,BUY_EOD,13.43767,13.57195,0.13427999999999862,LINK/USD,1000,9.992803811970274
2025-07-07 01:18:00+05:30,2025-07-07 09:41:00+05:30,BUY_EOD,0.243982,0.251394,0.007412000000000002,XLM/USD,1000,30.379290275512133
2025-07-07 06:22:00+05:30,2025-07-07 09:41:00+05:30,BUY_EOD,4.0849,4.09,0.00509999999999966,ATOM/USD,1000,1.2485005752893976
2025-07-07 00:39:00+05:30,2025-07-07 09:41:00+05:30,BUY_EOD,317.12,322.03,4.909999999999968,XMR/USD,1000,15.483097880928254
2025-07-06 23:32:00+05:30,2025-07-07 09:41:00+05:30,BUY_EOD,2.291,2.309,0.018000000000000238,FIL/USD,1000,7.856831078131924
2025-07-06 22:15:00+05:30,2025-07-07 09:41:00+05:30,BUY_EOD,0.4848,0.4857,0.0009000000000000119,EOS/USD,1000,1.856435643564381
