symbol,type,entry_price,exit_price,entry_time,exit_time,pnl_percent,strategy
BTC/USDT,short,112367.0,112673.1,2025-07-10 16:15:00,2025-07-10 16:30:00,-0.27241093915473924,BB_RSI
BTC/USDT,short,112630.0,113401.9,2025-07-10 16:45:00,2025-07-10 17:00:00,-0.6853413832904147,BB_RSI
BTC/USDT,short,113392.0,113663.7,2025-07-10 17:15:00,2025-07-10 17:30:00,-0.23961126005361674,BB_RSI
BTC/USDT,short,115691.9,116251.1,2025-07-10 21:15:00,2025-07-10 21:30:00,-0.4833527671340964,BB_RSI
BTC/USDT,short,116475.1,116499.9,2025-07-10 21:45:00,2025-07-11 02:30:00,-0.021292104492709907,BB_RSI
BTC/USDT,short,116641.8,116873.9,2025-07-11 02:45:00,2025-07-11 03:45:00,-0.1989852694317057,BB_RSI
BTC/USDT,short,117416.2,117930.4,2025-07-11 05:15:00,2025-07-11 05:30:00,-0.4379293487610714,BB_RSI
BTC/USDT,short,118028.7,118600.6,2025-07-11 06:00:00,2025-07-11 09:30:00,-0.48454316619602583,BB_RSI
ETH/USDT,short,2819.7,2833.1,2025-07-10 17:00:00,2025-07-10 17:45:00,-0.47522786111998055,BB_RSI
ETH/USDT,short,2906.79,2954.0,2025-07-10 21:15:00,2025-07-10 21:30:00,-1.6241283340041779,BB_RSI
ETH/USDT,short,2976.35,2959.81,2025-07-10 21:45:00,2025-07-10 22:00:00,0.5557142137181434,BB_RSI
ETH/USDT,short,2991.82,2994.93,2025-07-11 05:00:00,2025-07-11 05:15:00,-0.103950103950093,BB_RSI
ETH/USDT,short,3005.5,3004.29,2025-07-11 05:30:00,2025-07-11 05:45:00,0.04025952420562424,BB_RSI
ETH/USDT,short,3014.51,3017.37,2025-07-11 06:00:00,2025-07-11 06:15:00,-0.09487445720862336,BB_RSI
