trade_id,symbol,entry_time,exit_time,entry_price,exit_price,position_size,pnl_dollars,pnl_percent,duration_days,trade_type,outcome,strategy_name
1,VIRTUAL/USDT,2025-06-12 04:00:00,2025-06-16 14:00:00,2.0351,1.9637,5000.0,-175.4213552159597,-3.5084271043191935,4.416666666666667,Long,Loss,RSI_MACD_VWAP_Strategy
2,VIRTUAL/USDT,2025-06-16 23:00:00,2025-06-23 22:00:00,1.8175,1.691,5000.0,-348.0055020632733,-6.960110041265466,6.958333333333333,Long,Loss,RSI_MACD_VWAP_Strategy
3,VIRTUAL/USDT,2025-06-24 19:00:00,2025-06-29 04:00:00,1.5799,1.4959,5000.0,-265.8396101019054,-5.3167922020381075,4.375,Long,Loss,RSI_MACD_VWAP_Strategy
4,VIRTUAL/USDT,2025-06-29 07:00:00,2025-07-03 03:00:00,1.5479,1.6179,5000.0,226.1127979843654,4.522255959687308,3.8333333333333335,Long,Win,RSI_MACD_VWAP_Strategy
5,VIRTUAL/USDT,2025-07-03 05:00:00,2025-07-03 07:00:00,1.6745,1.6754,5000.0,2.6873693639889544,0.05374738727977909,0.08333333333333333,Long,Win,RSI_MACD_VWAP_Strategy
6,VIRTUAL/USDT,2025-07-04 10:00:00,2025-07-04 16:00:00,1.6097,1.5253,5000.0,-262.16065105299066,-5.243213021059813,0.25,Long,Loss,RSI_MACD_VWAP_Strategy
