trade_id,symbol,entry_time,exit_time,entry_price,exit_price,position_size,pnl_dollars,pnl_percent,duration_days,trade_type,outcome,strategy_name
1,DOGE/USDT,2025-06-11 21:00:00,2025-06-29 23:00:00,0.1926,0.16936,5000.0,-603.3229491173412,-12.066458982346823,18.083333333333332,Long,Loss,RSI_MACD_VWAP_Strategy
2,DOGE/USDT,2025-06-30 12:00:00,2025-07-02 16:00:00,0.16398,0.17202,5000.0,245.151847786316,4.9030369557263205,2.1666666666666665,Long,Win,RSI_MACD_VWAP_Strategy
3,DOGE/USDT,2025-07-04 03:00:00,2025-07-06 12:00:00,0.17088,0.16664,5000.0,-124.06367041198483,-2.4812734082396966,2.375,Long,Loss,RSI_MACD_VWAP_Strategy
4,DOGE/USDT,2025-07-07 16:00:00,2025-07-08 10:00:00,0.16772,0.16959,5000.0,55.747674695921255,1.1149534939184251,0.75,Long,Win,RSI_MACD_VWAP_Strategy
