Category,Strategy,Symbol,Timeframe,Return_Percent,PnL_Dollars,Duration_Days,Entry_Time,Exit_Time,Entry_Price,Exit_Price,Win_Rate,Total_Trades,Symbols_Count,Success_Rate
Best Single Trade (All Strategies),BB_RSI,BTC/USDT,1h,3.4448148148148094,344.4814814814809,2.125,2025-07-07 16:00:00,2025-07-09 19:00:00,108000.0,111720.4,,,,
Best Strategy Performance,BB_RSI,AGGREGATE,1h,0.3444814814814745,,,,,,,100.0,1.0,1.0,16.666666666666664
Top Trade #1 (All Strategies),BB_RSI,BTC/USDT,1h,3.4448148148148094,344.4814814814809,2.125,2025-07-07 16:00:00,2025-07-09 19:00:00,108000.0,111720.4,,,,
Top Trade #2 (All Strategies),Optimized_Crypto_V2,BTC/USDT,1h,1.413012879804335,141.30128798043353,0.3333333333333333,2025-07-09 16:00:00,2025-07-10 00:00:00,109411.6,110957.6,,,,
Top Trade #3 (All Strategies),RSI_MACD_VWAP,BTC/USDT,1h,0.38625425622300813,38.62542562230082,0.9166666666666666,2025-07-07 12:00:00,2025-07-08 10:00:00,108400.1,108818.8,,,,
Top Strategy #1,BB_RSI,AGGREGATE,1h,0.3444814814814745,,,,,,,100.0,1.0,1.0,16.666666666666664
Top Strategy #2,Optimized_Crypto_V2,AGGREGATE,1h,0.19745098891590898,,,,,,,100.0,3.0,1.0,16.666666666666664
Top Strategy #3,RSI_MACD_VWAP,AGGREGATE,1h,0.06724153166871111,,,,,,,100.0,2.0,1.0,16.666666666666664
