symbol,entry_time,exit_time,side,entry_price,exit_price,position_size,pnl_abs,pnl_pct,duration_hours,duration_days,trade_type,cumulative_pnl,portfolio_value
VIRTUAL/USDT,2025-06-23 18:00:00,2025-06-23 22:00:00,BUY_TP,1.5201,1.691,1000,112.4268140253931,11.24268140253931,4.0,0.16666666666666666,Take Profit,-93.98550313899872,9906.014496861002
VIRTUAL/USDT,2025-06-26 02:00:00,2025-06-26 09:00:00,BUY_SL,1.5218,1.4573,1000,-42.38401892495728,-4.2384018924957285,7.0,0.2916666666666667,Stop Loss,-136.369522063956,9863.630477936043
VIRTUAL/USDT,2025-06-26 20:00:00,2025-06-27 00:00:00,BUY_SL,1.4939,1.4449,1000,-32.800053551107794,-3.2800053551107795,4.0,0.16666666666666666,Stop Loss,-169.1695756150638,9830.830424384936
VIRTUAL/USDT,2025-06-28 19:00:00,2025-06-29 09:00:00,BUY_TP,1.5159,1.6113,1000,62.93291114189586,6.293291114189585,14.0,0.5833333333333334,Take Profit,-106.23666447316793,9893.763335526832
VIRTUAL/USDT,2025-07-02 13:00:00,2025-07-02 21:00:00,BUY_TP,1.5379,1.6419,1000,67.62468300929831,6.7624683009298305,8.0,0.3333333333333333,Take Profit,-38.611981463869625,9961.38801853613
VIRTUAL/USDT,2025-07-09 19:00:00,2025-07-10 16:00:00,BUY_TP,1.5492,1.6633,1000,73.65091660211728,7.3650916602117285,21.0,0.875,Take Profit,35.03893513824765,10035.038935138247
XMR/USDT,2025-06-21 16:00:00,2025-06-22 03:00:00,BUY_SL,314.36,304.0,1000,-32.95584679984735,-3.295584679984735,11.0,0.4583333333333333,Stop Loss,2.0830883384003016,10002.0830883384
XMR/USDT,2025-06-23 22:00:00,2025-07-03 10:00:00,BUY_TP,307.7,329.63,1000,71.27071823204422,7.127071823204423,228.0,9.5,Take Profit,73.35380657044452,10073.353806570445
XMR/USDT,2025-07-06 12:00:00,2025-07-12 01:00:00,BUY_TP,314.97,334.86,1000,63.14887132107815,6.314887132107814,133.0,5.541666666666667,Take Profit,136.50267789152267,10136.502677891523
XTZ/USDT,2025-06-18 15:00:00,2025-06-20 17:00:00,BUY_SL,0.5349,0.5107,1000,-45.2421013273509,-4.5242101327350905,50.0,2.0833333333333335,Stop Loss,91.26057656417177,10091.260576564171
XTZ/USDT,2025-06-23 22:00:00,2025-07-09 19:00:00,BUY_TP,0.5268,0.5609,1000,64.730447987851,6.473044798785099,381.0,15.875,Take Profit,155.99102455202276,10155.991024552022
