timestamp,symbol,signal,entry_price,exit_price,pnl_abs,pnl_pct,side
2025-06-14 21:00:00,FARTCOIN/USDT,BUY,1.1684,1.2489,68.8976377952754,6.8897637795275415,BUY_TP
2025-06-15 21:00:00,FARTCOIN/USDT,BUY,1.2032,1.2953,76.54587765957433,7.654587765957434,BUY_TP
2025-06-17 00:00:00,FARTCOIN/USDT,BUY,1.1818,1.1378,-37.23134202064651,-3.7231342020646507,BUY_SL
2025-06-23 22:00:00,FARTCOIN/USDT,BUY,1.0337,0.992,-40.34052433007649,-4.034052433007649,BUY_SL
2025-06-28 05:00:00,FARTCOIN/USDT,BUY,1.0444,1.112,64.72615855993882,6.472615855993882,BUY_TP
2025-07-08 16:00:00,FARTCOIN/USDT,BUY,1.0467,1.1131,63.43747014426294,6.3437470144262935,BUY_TP
2025-06-13 06:00:00,MANA/USDT,BUY,0.2596,0.25,-36.979969183359,-3.6979969183359005,BUY_SL
2025-06-23 13:00:00,MANA/USDT,BUY,0.24746,0.26525,71.89040653034823,7.189040653034823,BUY_TP
2025-06-26 15:00:00,MANA/USDT,BUY,0.25057,0.24097,-38.31264716446512,-3.831264716446512,BUY_SL
2025-07-05 20:00:00,MANA/USDT,BUY,0.25344,0.26941,63.01294191919185,6.301294191919185,BUY_TP
2025-06-14 04:00:00,MELANIA/USDT,BUY,0.2659,0.2558,-37.984204588191034,-3.7984204588191037,BUY_SL
2025-06-28 10:00:00,MELANIA/USDT,BUY,0.2177,0.2108,-31.694993109784185,-3.1694993109784186,BUY_SL
2025-07-10 22:00:00,MELANIA/USDT,BUY,0.2105,0.2135,14.2517814726841,1.4251781472684097,BUY_EOD
2025-06-12 12:00:00,PENGU/USDT,BUY,0.010896,0.010527,-33.86563876651978,-3.3865638766519783,BUY_SL
2025-06-17 19:00:00,PENGU/USDT,BUY,0.00949,0.009162,-34.562697576396225,-3.4562697576396224,BUY_SL
2025-06-19 04:00:00,PENGU/USDT,BUY,0.009569,0.009245,-33.85933744382899,-3.3859337443829,BUY_SL
2025-06-23 22:00:00,PENGU/USDT,BUY,0.009778,0.009469,-31.601554510124792,-3.1601554510124794,BUY_SL
2025-06-13 17:00:00,RLUSD/USDT,BUY,0.9993,0.99934,0.040028019613769644,0.004002801961376964,BUY_EOD
2025-06-15 02:00:00,S/USDT,BUY,0.3406,0.2911,-145.331767469172,-14.533176746917201,BUY_SL
2025-06-16 03:00:00,S/USDT,BUY,0.3352,0.2911,-131.56324582338894,-13.156324582338893,BUY_SL
2025-07-05 20:00:00,S/USDT,BUY,0.308,0.298,-32.4675324675325,-3.24675324675325,BUY_SL
2025-06-23 22:00:00,TON/USDT,BUY,2.92,2.821,-33.90410958904101,-3.390410958904101,BUY_SL
2025-07-06 07:00:00,TON/USDT,BUY,2.901,2.79,-38.26266804550147,-3.826266804550147,BUY_SL
2025-06-14 13:00:00,TRUMP/USDT,BUY,10.505,10.146,-34.17420276059019,-3.417420276059019,BUY_SL
2025-07-09 18:00:00,TRUMP/USDT,BUY,8.904,9.632,81.76100628930814,8.176100628930815,BUY_TP
2025-06-14 14:00:00,USDC/USDT,BUY,0.9995,0.9996,0.10005002501249523,0.010005002501249523,BUY_EOD
2025-06-13 02:00:00,USDQ/USDT,BUY,0.997,0.998,1.0030090270812446,0.10030090270812446,BUY_EOD
2025-06-15 19:00:00,USDR/USDT,BUY,0.9994,0.9986,-0.8004802881728156,-0.08004802881728156,BUY_EOD
2025-06-12 18:00:00,USTC/USDT,BUY,0.01189,0.0115,-32.800672834314526,-3.280067283431453,BUY_SL
2025-06-12 21:00:00,USTC/USDT,BUY,0.0115,0.01106,-38.26086956521734,-3.826086956521734,BUY_SL
2025-06-20 09:00:00,USTC/USDT,BUY,0.01229,0.01168,-49.63384865744517,-4.9633848657445165,BUY_SL
2025-06-25 08:00:00,USTC/USDT,BUY,0.01237,0.01196,-33.14470493128542,-3.314470493128542,BUY_SL
2025-06-29 12:00:00,USTC/USDT,BUY,0.01297,0.01235,-47.8026214340787,-4.78026214340787,BUY_SL
2025-07-05 08:00:00,USTC/USDT,BUY,0.01296,0.01235,-47.067901234567856,-4.706790123456786,BUY_SL
2025-07-06 16:00:00,USTC/USDT,BUY,0.01297,0.01253,-33.92444101773332,-3.3924441017733313,BUY_SL
2025-07-09 21:00:00,USTC/USDT,BUY,0.013,0.01405,80.76923076923082,8.076923076923082,BUY_TP
2025-06-16 06:00:00,VIRTUAL/USDT,BUY,1.9305,1.8542,-39.52343952343954,-3.9523439523439543,BUY_SL
2025-06-29 09:00:00,VIRTUAL/USDT,BUY,1.6113,1.5556,-34.56836095078499,-3.4568360950784993,BUY_SL
2025-06-29 22:00:00,VIRTUAL/USDT,BUY,1.6568,1.5865,-42.43119266055047,-4.243119266055047,BUY_SL
2025-07-02 16:00:00,VIRTUAL/USDT,BUY,1.6251,1.571,-33.29025906098089,-3.3290259060980882,BUY_SL
2025-07-05 06:00:00,VIRTUAL/USDT,BUY,1.61,1.5556,-33.788819875776404,-3.37888198757764,BUY_SL
2025-06-15 05:00:00,XMR/USDT,BUY,317.32,307.13,-32.11269381066431,-3.2112693810664306,BUY_SL
2025-06-29 03:00:00,XMR/USDT,BUY,315.42,326.67,35.666730074186795,3.5666730074186797,BUY_EOD
2025-07-08 17:00:00,XTZ/USDT,BUY,0.5361,0.5733,69.39003917179633,6.939003917179633,BUY_TP
