trade_id,symbol,entry_time,exit_time,entry_price,exit_price,position_size,pnl_dollars,pnl_percent,duration_days,trade_type,outcome,strategy_name
1,MANA/USDT,2025-06-11 12:00:00,2025-06-23 22:00:00,0.29502,0.26146,5000.0,-568.7749983051992,-11.375499966103986,12.416666666666666,Long,Loss,RSI_MACD_VWAP_Strategy
2,MANA/USDT,2025-06-24 20:00:00,2025-06-25 03:00:00,0.25935,0.26281,5000.0,66.70522459996072,1.3341044919992144,0.2916666666666667,Long,Win,RSI_MACD_VWAP_Strategy
3,MANA/USDT,2025-06-25 06:00:00,2025-06-25 12:00:00,0.26038,0.2619,5000.0,29.188109685844175,0.5837621937168835,0.25,Long,Win,RSI_MACD_VWAP_Strategy
4,MANA/USDT,2025-06-25 17:00:00,2025-06-29 10:00:00,0.25941,0.24989,5000.0,-183.4933117458844,-3.6698662349176874,3.7083333333333335,Long,Loss,RSI_MACD_VWAP_Strategy
5,MANA/USDT,2025-06-29 21:00:00,2025-06-29 22:00:00,0.25249,0.26221,5000.0,192.48287060873713,3.8496574121747424,0.041666666666666664,Long,Win,RSI_MACD_VWAP_Strategy
6,MANA/USDT,2025-06-30 12:00:00,2025-07-02 15:00:00,0.24981,0.25571,5000.0,118.08974820863833,2.3617949641727667,2.125,Long,Win,RSI_MACD_VWAP_Strategy
7,MANA/USDT,2025-07-04 06:00:00,2025-07-06 07:00:00,0.2622,0.25879,5000.0,-65.02669717772633,-1.3005339435545267,2.0416666666666665,Long,Loss,RSI_MACD_VWAP_Strategy
8,MANA/USDT,2025-07-07 17:00:00,2025-07-08 11:00:00,0.26477,0.26612,5000.0,25.49382482909729,0.5098764965819458,0.75,Long,Win,RSI_MACD_VWAP_Strategy
