trade_id,symbol,entry_time,exit_time,entry_price,exit_price,position_size,pnl_dollars,pnl_percent,duration_days,trade_type,outcome,strategy_name
1,USDR/USDT,2025-06-11 03:00:00,2025-06-11 04:00:00,1.001,1.001,5000.0,0.0,0.0,0.041666666666666664,Long,Breakeven,RSI_MACD_VWAP_Strategy
2,USDR/USDT,2025-06-11 17:00:00,2025-06-12 04:00:00,0.9981,0.9987,5000.0,3.005710850616396,0.06011421701232792,0.4583333333333333,Long,Win,RSI_MACD_VWAP_Strategy
3,USDR/USDT,2025-06-12 05:00:00,2025-06-12 06:00:00,0.9987,0.9987,5000.0,0.0,0.0,0.041666666666666664,Long,Breakeven,RSI_MACD_VWAP_Strategy
4,USDR/USDT,2025-06-12 14:00:00,2025-06-15 19:00:00,0.9981,0.9994,5000.0,6.512373509668209,0.13024747019336416,3.2083333333333335,Long,Win,RSI_MACD_VWAP_Strategy
5,USDR/USDT,2025-06-18 19:00:00,2025-06-25 07:00:00,0.9986,0.9994,5000.0,4.0056078509909465,0.08011215701981894,6.5,Long,Win,RSI_MACD_VWAP_Strategy
6,USDR/USDT,2025-06-25 21:00:00,2025-06-27 16:00:00,0.9986,0.9994,5000.0,4.0056078509909465,0.08011215701981894,1.7916666666666667,Long,Win,RSI_MACD_VWAP_Strategy
7,USDR/USDT,2025-06-28 06:00:00,2025-06-30 19:00:00,0.9986,0.9988,5000.0,1.0014019627477366,0.020028039254954735,2.5416666666666665,Long,Win,RSI_MACD_VWAP_Strategy
8,USDR/USDT,2025-07-01 09:00:00,2025-07-03 08:00:00,0.9986,0.9988,5000.0,1.0014019627477366,0.020028039254954735,1.9583333333333333,Long,Win,RSI_MACD_VWAP_Strategy
9,USDR/USDT,2025-07-04 02:00:00,2025-07-04 09:00:00,0.9986,0.9994,5000.0,4.0056078509909465,0.08011215701981894,0.2916666666666667,Long,Win,RSI_MACD_VWAP_Strategy
