trade_id,symbol,entry_time,exit_time,entry_price,exit_price,position_size,pnl_dollars,pnl_percent,duration_days,trade_type,outcome,strategy_name
1,XRP/USDT,2025-06-11 03:00:00,2025-06-11 15:00:00,2.29655,2.32646,5000.0,65.11941825782174,1.302388365156435,0.5,Long,Win,RSI_MACD_VWAP_Strategy
2,XRP/USDT,2025-06-11 22:00:00,2025-06-14 08:00:00,2.2596,2.17379,5000.0,-189.87873959992908,-3.7975747919985814,2.4166666666666665,Long,Loss,RSI_MACD_VWAP_Strategy
3,XRP/USDT,2025-06-14 22:00:00,2025-06-15 09:00:00,2.13872,2.16168,5000.0,53.67696566170388,1.0735393132340778,0.4583333333333333,Long,Win,RSI_MACD_VWAP_Strategy
4,XRP/USDT,2025-06-16 01:00:00,2025-06-16 07:00:00,2.17292,2.20185,5000.0,66.56940890598803,1.3313881781197607,0.25,Long,Win,RSI_MACD_VWAP_Strategy
5,XRP/USDT,2025-06-17 06:00:00,2025-06-19 00:00:00,2.23303,2.17842,5000.0,-122.27780191040834,-2.445556038208167,1.75,Long,Loss,RSI_MACD_VWAP_Strategy
6,XRP/USDT,2025-06-19 11:00:00,2025-06-23 22:00:00,2.15306,2.16265,5000.0,22.270628779505007,0.4454125755901001,4.458333333333333,Long,Win,RSI_MACD_VWAP_Strategy
7,XRP/USDT,2025-06-25 10:00:00,2025-06-25 13:00:00,2.19061,2.22437,5000.0,77.05616243877279,1.5411232487754558,0.125,Long,Win,RSI_MACD_VWAP_Strategy
8,XRP/USDT,2025-06-26 09:00:00,2025-06-28 01:00:00,2.178,2.17762,5000.0,-0.8723599632686523,-0.017447199265373043,1.6666666666666667,Long,Loss,RSI_MACD_VWAP_Strategy
9,XRP/USDT,2025-06-29 05:00:00,2025-06-29 22:00:00,2.18511,2.21507,5000.0,68.55490112625907,1.3710980225251812,0.7083333333333334,Long,Win,RSI_MACD_VWAP_Strategy
10,XRP/USDT,2025-06-30 12:00:00,2025-06-30 18:00:00,2.175,2.23538,5000.0,138.80459770115016,2.776091954023004,0.25,Long,Win,RSI_MACD_VWAP_Strategy
11,XRP/USDT,2025-07-01 10:00:00,2025-07-02 08:00:00,2.20233,2.1959,5000.0,-14.598175568602198,-0.29196351137204396,0.9166666666666666,Long,Loss,RSI_MACD_VWAP_Strategy
12,XRP/USDT,2025-07-04 16:00:00,2025-07-06 08:00:00,2.20909,2.24292,5000.0,76.56999035801977,1.5313998071603954,1.6666666666666667,Long,Win,RSI_MACD_VWAP_Strategy
