trade_id,symbol,entry_time,exit_time,entry_price,exit_price,position_size,pnl_dollars,pnl_percent,duration_days,trade_type,outcome,strategy_name
1,BTC/USDT,2025-06-20 21:00:00,2025-06-21 12:00:00,103534.3,103823.3,10000,27.91345476812998,0.2791345476812998,0.625,Long,Win,RSI_MACD_VWAP_Strategy
2,BTC/USDT,2025-06-21 18:00:00,2025-06-22 11:00:00,102668.4,102715.1,10000,4.548624503743278,0.04548624503743279,0.7083333333333334,Long,Win,RSI_MACD_VWAP_Strategy
3,BTC/USDT,2025-06-22 14:00:00,2025-06-23 05:00:00,99640.1,101779.1,10000,214.6726067115549,2.146726067115549,0.625,Long,Win,RSI_MACD_VWAP_Strategy
4,BTC/USDT,2025-07-01 09:00:00,2025-07-02 08:00:00,106562.2,107720.2,10000,108.66892763099861,1.086689276309986,0.9583333333333334,Long,Win,RSI_MACD_VWAP_Strategy
5,BTC/USDT,2025-07-04 15:00:00,2025-07-06 05:00:00,107700.0,108017.6,10000,29.489322191272592,0.29489322191272593,1.5833333333333333,Long,Win,RSI_MACD_VWAP_Strategy
6,BTC/USDT,2025-07-06 09:00:00,2025-07-06 13:00:00,107869.7,108776.9,10000,84.10146686233456,0.8410146686233457,0.16666666666666666,Long,Win,RSI_MACD_VWAP_Strategy
7,BTC/USDT,2025-07-07 17:00:00,2025-07-08 10:00:00,107943.9,108818.8,10000,81.05136093841419,0.810513609384142,0.7083333333333334,Long,Win,RSI_MACD_VWAP_Strategy
