trade_id,symbol,entry_time,exit_time,entry_price,exit_price,position_size,pnl_dollars,pnl_percent,duration_days,trade_type,outcome,strategy_name
1,BNB/USDT,2025-06-11 08:00:00,2025-06-11 10:00:00,674.12,666.79,5000.0,-54.36717498368273,-1.0873434996736546,0.08333333333333333,Long,Loss,RSI_MACD_VWAP_Strategy
2,BNB/USDT,2025-06-11 22:00:00,2025-06-13 14:00:00,663.71,651.86,5000.0,-89.27091651474305,-1.785418330294861,1.6666666666666667,Long,Loss,RSI_MACD_VWAP_Strategy
3,BNB/USDT,2025-06-13 22:00:00,2025-06-14 08:00:00,649.56,653.21,5000.0,28.09594186834235,0.561918837366847,0.4166666666666667,Long,Win,RSI_MACD_VWAP_Strategy
4,BNB/USDT,2025-06-14 15:00:00,2025-06-15 06:00:00,646.59,650.22,5000.0,28.070338235976394,0.5614067647195279,0.625,Long,Win,RSI_MACD_VWAP_Strategy
5,BNB/USDT,2025-06-15 20:00:00,2025-06-16 10:00:00,643.5,654.2,5000.0,83.1390831390835,1.6627816627816698,0.5833333333333334,Long,Win,RSI_MACD_VWAP_Strategy
6,BNB/USDT,2025-06-16 21:00:00,2025-06-16 22:00:00,659.98,653.62,5000.0,-48.183278281160135,-0.9636655656232028,0.041666666666666664,Long,Loss,RSI_MACD_VWAP_Strategy
7,BNB/USDT,2025-06-17 08:00:00,2025-06-17 12:00:00,657.45,658.23,5000.0,5.932010038786012,0.11864020077572023,0.16666666666666666,Long,Win,RSI_MACD_VWAP_Strategy
8,BNB/USDT,2025-06-17 16:00:00,2025-06-18 06:00:00,641.69,653.92,5000.0,95.29523601739082,1.9059047203478163,0.5833333333333334,Long,Win,RSI_MACD_VWAP_Strategy
9,BNB/USDT,2025-06-18 15:00:00,2025-06-19 07:00:00,644.19,646.82,5000.0,20.413232120958064,0.40826464241916127,0.6666666666666666,Long,Win,RSI_MACD_VWAP_Strategy
10,BNB/USDT,2025-06-19 14:00:00,2025-06-20 03:00:00,641.12,645.27,5000.0,32.36523583728457,0.6473047167456915,0.5416666666666666,Long,Win,RSI_MACD_VWAP_Strategy
11,BNB/USDT,2025-06-20 22:00:00,2025-06-24 01:00:00,640.44,638.09,5000.0,-18.346761601399216,-0.3669352320279843,3.125,Long,Loss,RSI_MACD_VWAP_Strategy
