trade_id,symbol,entry_time,exit_time,entry_price,exit_price,position_size,pnl_dollars,pnl_percent,duration_days,trade_type,outcome,strategy_name
1,APE/USDT,2025-06-11 08:00:00,2025-06-11 19:00:00,0.7236,0.7236,5000.0,0.0,0.0,0.4583333333333333,Long,Breakeven,RSI_MACD_VWAP_Strategy
2,APE/USDT,2025-06-11 21:00:00,2025-06-14 04:00:00,0.7134,0.692,5000.0,-149.98598261844745,-2.9997196523689493,2.2916666666666665,Long,Loss,RSI_MACD_VWAP_Strategy
3,APE/USDT,2025-06-14 18:00:00,2025-06-24 13:00:00,0.6742,0.6271,5000.0,-349.30287748442623,-6.986057549688524,9.791666666666666,Long,Loss,RSI_MACD_VWAP_Strategy
4,APE/USDT,2025-06-24 19:00:00,2025-06-30 07:00:00,0.6271,0.6184,5000.0,-69.3669271248608,-1.387338542497216,5.5,Long,Loss,RSI_MACD_VWAP_Strategy
5,APE/USDT,2025-06-30 13:00:00,2025-07-02 17:00:00,0.6105,0.6291,5000.0,152.33415233415192,3.0466830466830386,2.1666666666666665,Long,Win,RSI_MACD_VWAP_Strategy
6,APE/USDT,2025-07-03 15:00:00,2025-07-06 21:00:00,0.6256,0.6187,5000.0,-55.14705882352955,-1.102941176470591,3.25,Long,Loss,RSI_MACD_VWAP_Strategy
7,APE/USDT,2025-07-07 17:00:00,2025-07-09 08:00:00,0.6116,0.6175,5000.0,48.234139960758796,0.9646827992151761,1.625,Long,Win,RSI_MACD_VWAP_Strategy
