trade_id,symbol,entry_time,exit_time,entry_price,exit_price,position_size,pnl_dollars,pnl_percent,duration_days,trade_type,outcome,strategy_name
1,DAI/USDT,2025-06-11 06:00:00,2025-06-11 15:00:00,0.99873,0.99834,5000.0,-1.9524796491544334,-0.03904959298308867,0.375,Long,Loss,RSI_MACD_VWAP_Strategy
2,DAI/USDT,2025-06-12 01:00:00,2025-06-12 05:00:00,0.99885,0.99894,5000.0,0.4505180958103544,0.009010361916207087,0.16666666666666666,Long,Win,RSI_MACD_VWAP_Strategy
3,DAI/USDT,2025-06-12 20:00:00,2025-06-13 09:00:00,0.99836,0.99964,5000.0,6.410513241716154,0.12821026483432307,0.5416666666666666,Long,Win,RSI_MACD_VWAP_Strategy
4,DAI/USDT,2025-06-13 15:00:00,2025-06-13 17:00:00,0.99973,0.99823,5000.0,-7.502025546897947,-0.15004051093795895,0.08333333333333333,Long,Loss,RSI_MACD_VWAP_Strategy
5,DAI/USDT,2025-06-13 18:00:00,2025-06-14 00:00:00,0.99999,0.99999,5000.0,0.0,0.0,0.25,Long,Breakeven,RSI_MACD_VWAP_Strategy
6,DAI/USDT,2025-06-14 08:00:00,2025-06-14 16:00:00,0.99827,0.99877,5000.0,2.5043324952170054,0.05008664990434011,0.3333333333333333,Long,Win,RSI_MACD_VWAP_Strategy
7,DAI/USDT,2025-06-15 22:00:00,2025-06-16 07:00:00,0.99952,1.00016,5000.0,3.2015367376339343,0.06403073475267868,0.375,Long,Win,RSI_MACD_VWAP_Strategy
8,DAI/USDT,2025-06-16 15:00:00,2025-06-17 04:00:00,0.99845,0.99876,5000.0,1.5524062296561294,0.03104812459312259,0.5416666666666666,Long,Win,RSI_MACD_VWAP_Strategy
9,DAI/USDT,2025-06-17 05:00:00,2025-06-17 09:00:00,0.99993,1.0,5000.0,0.3500245017151925,0.00700049003430385,0.16666666666666666,Long,Win,RSI_MACD_VWAP_Strategy
10,DAI/USDT,2025-06-17 14:00:00,2025-06-17 20:00:00,1.00001,0.99937,5000.0,-3.199968000320421,-0.06399936000640843,0.25,Long,Loss,RSI_MACD_VWAP_Strategy
11,DAI/USDT,2025-06-17 21:00:00,2025-06-18 03:00:00,0.99993,0.99931,5000.0,-3.100217015190833,-0.06200434030381666,0.25,Long,Loss,RSI_MACD_VWAP_Strategy
12,DAI/USDT,2025-06-18 07:00:00,2025-06-18 08:00:00,1.00023,1.00023,5000.0,0.0,0.0,0.041666666666666664,Long,Breakeven,RSI_MACD_VWAP_Strategy
13,DAI/USDT,2025-06-18 21:00:00,2025-06-19 02:00:00,0.99955,0.99943,5000.0,-0.6002701215547445,-0.01200540243109489,0.20833333333333334,Long,Loss,RSI_MACD_VWAP_Strategy
14,DAI/USDT,2025-06-19 04:00:00,2025-06-19 09:00:00,0.99953,0.99943,5000.0,-0.5002351105018809,-0.010004702210037617,0.20833333333333334,Long,Loss,RSI_MACD_VWAP_Strategy
15,DAI/USDT,2025-06-19 11:00:00,2025-06-19 15:00:00,0.99989,0.99859,5000.0,-6.500715078658493,-0.13001430157316984,0.16666666666666666,Long,Loss,RSI_MACD_VWAP_Strategy
16,DAI/USDT,2025-06-19 18:00:00,2025-06-20 05:00:00,0.99859,1.0,5000.0,7.0599545358957245,0.1411990907179145,0.4583333333333333,Long,Win,RSI_MACD_VWAP_Strategy
17,DAI/USDT,2025-06-20 15:00:00,2025-06-20 23:00:00,0.99897,1.00005,5000.0,5.405567734767215,0.10811135469534429,0.3333333333333333,Long,Win,RSI_MACD_VWAP_Strategy
18,DAI/USDT,2025-06-21 10:00:00,2025-06-22 01:00:00,0.99962,0.99858,5000.0,-5.201976751165093,-0.10403953502330185,0.625,Long,Loss,RSI_MACD_VWAP_Strategy
19,DAI/USDT,2025-06-22 02:00:00,2025-06-22 05:00:00,1.00089,1.00089,5000.0,0.0,0.0,0.125,Long,Breakeven,RSI_MACD_VWAP_Strategy
20,DAI/USDT,2025-06-22 16:00:00,2025-06-22 17:00:00,0.99987,0.99827,5000.0,-8.001040135217806,-0.16002080270435615,0.041666666666666664,Long,Loss,RSI_MACD_VWAP_Strategy
21,DAI/USDT,2025-06-22 20:00:00,2025-06-23 03:00:00,0.99992,1.0,5000.0,0.40003200256004967,0.008000640051200995,0.2916666666666667,Long,Win,RSI_MACD_VWAP_Strategy
22,DAI/USDT,2025-06-23 09:00:00,2025-06-23 22:00:00,0.99856,0.99923,5000.0,3.354830956577213,0.06709661913154426,0.5416666666666666,Long,Win,RSI_MACD_VWAP_Strategy
23,DAI/USDT,2025-06-23 23:00:00,2025-06-24 03:00:00,1.00041,0.9989,5000.0,-7.5469057686349155,-0.1509381153726983,0.16666666666666666,Long,Loss,RSI_MACD_VWAP_Strategy
24,DAI/USDT,2025-06-24 13:00:00,2025-06-25 00:00:00,0.99844,0.99916,5000.0,3.6056247746487218,0.07211249549297442,0.4583333333333333,Long,Win,RSI_MACD_VWAP_Strategy
25,DAI/USDT,2025-06-25 02:00:00,2025-06-25 03:00:00,0.99971,0.99971,5000.0,0.0,0.0,0.041666666666666664,Long,Breakeven,RSI_MACD_VWAP_Strategy
26,DAI/USDT,2025-06-26 03:00:00,2025-06-26 09:00:00,0.99928,0.99939,5000.0,0.5503962853257071,0.01100792570651414,0.25,Long,Win,RSI_MACD_VWAP_Strategy
27,DAI/USDT,2025-06-26 19:00:00,2025-06-26 22:00:00,0.99935,0.99973,5000.0,1.901235803272362,0.03802471606544724,0.125,Long,Win,RSI_MACD_VWAP_Strategy
28,DAI/USDT,2025-06-27 11:00:00,2025-06-27 22:00:00,0.99943,0.9997,5000.0,1.3507699388651155,0.02701539877730231,0.4583333333333333,Long,Win,RSI_MACD_VWAP_Strategy
29,DAI/USDT,2025-06-28 03:00:00,2025-06-28 17:00:00,0.9997,0.99982,5000.0,0.6001800540162499,0.012003601080324996,0.5833333333333334,Long,Win,RSI_MACD_VWAP_Strategy
30,DAI/USDT,2025-06-28 20:00:00,2025-06-29 03:00:00,0.99939,0.99945,5000.0,0.3001831116978806,0.006003662233957613,0.2916666666666667,Long,Win,RSI_MACD_VWAP_Strategy
31,DAI/USDT,2025-06-29 06:00:00,2025-06-29 10:00:00,0.99935,0.99987,5000.0,2.60169109921487,0.05203382198429739,0.16666666666666666,Long,Win,RSI_MACD_VWAP_Strategy
32,DAI/USDT,2025-06-29 22:00:00,2025-06-30 12:00:00,0.99924,0.99968,5000.0,2.2016732716864613,0.04403346543372923,0.5833333333333334,Long,Win,RSI_MACD_VWAP_Strategy
33,DAI/USDT,2025-06-30 23:00:00,2025-07-01 16:00:00,0.99925,0.99933,5000.0,0.400300225169277,0.00800600450338554,0.7083333333333334,Long,Win,RSI_MACD_VWAP_Strategy
34,DAI/USDT,2025-07-01 17:00:00,2025-07-01 18:00:00,0.99978,0.99955,5000.0,-1.15025305567201,-0.023005061113440205,0.041666666666666664,Long,Loss,RSI_MACD_VWAP_Strategy
35,DAI/USDT,2025-07-02 00:00:00,2025-07-02 10:00:00,0.99995,0.9994,5000.0,-2.750137506875596,-0.05500275013751192,0.4166666666666667,Long,Loss,RSI_MACD_VWAP_Strategy
36,DAI/USDT,2025-07-02 17:00:00,2025-07-03 07:00:00,0.99942,0.99931,5000.0,-0.5503191851270911,-0.011006383702541821,0.5833333333333334,Long,Loss,RSI_MACD_VWAP_Strategy
37,DAI/USDT,2025-07-03 09:00:00,2025-07-03 11:00:00,0.99955,0.99928,5000.0,-1.3506077734985917,-0.027012155469971835,0.08333333333333333,Long,Loss,RSI_MACD_VWAP_Strategy
38,DAI/USDT,2025-07-03 12:00:00,2025-07-04 01:00:00,0.99979,0.99965,5000.0,-0.7001470308760739,-0.014002940617521475,0.5416666666666666,Long,Loss,RSI_MACD_VWAP_Strategy
39,DAI/USDT,2025-07-04 04:00:00,2025-07-04 18:00:00,0.99932,0.99976,5000.0,2.201497017972201,0.04402994035944401,0.5833333333333334,Long,Win,RSI_MACD_VWAP_Strategy
40,DAI/USDT,2025-07-05 20:00:00,2025-07-06 18:00:00,0.99976,0.99927,5000.0,-2.4505881411538293,-0.04901176282307658,0.9166666666666666,Long,Loss,RSI_MACD_VWAP_Strategy
41,DAI/USDT,2025-07-07 00:00:00,2025-07-07 02:00:00,0.99999,0.99965,5000.0,-1.7000170001700365,-0.03400034000340073,0.08333333333333333,Long,Loss,RSI_MACD_VWAP_Strategy
